name;YearMeanMean;YearMean05;YearMean95;YearPrecMean;YearPrec05;YearPrec95;GSMeanMean;GSMean05;GSMean95;Area (km²);EasternLim;WesternLim;NorthernLim;SouthernLim
Viburnum lantana;9,64101879;4,708223503;13,95099951;726,3561797;511,9175439;1279,10317;15,16101735;10,12225852;19,18590041;2610800;47,5;-5,17;53,83;39,5
Viburnum opulus;6,491976233;1,118390005;11,30675307;717,7515256;510,8126496;1220,852479;13,21200812;9,425703634;17,50606502;6994000;59,83;-10,5;67,83;40,5
Vicia cracca;6,49943095;-0,206126595;12,89841093;718,3249717;461,5815791;1311,259591;13,2924603;7,195486709;19,06267944;9630800;59,83;-10,5;71,17;36,5
Vicia dumetorum;8,164009292;5,687225602;13,28116556;727,385414;519,4090142;1245,068099;14,39011818;11,32183201;18,82012127;1070800;35,83;6,5;53,5;40,83
Vicia pisiformis;7,287450404;4,241789269;10,20019518;743,2339041;514,9528862;1295,569725;14,39454694;12,44480226;16,63541084;1699200;48,5;5,83;56,17;42,17
Vicia sativa;8,677788955;1,820768114;16,87280273;698,0172515;442,4623099;1296,932171;15,16679056;10,2148137;21,15559233;9803200;56,5;-10,5;64,5;31,17
Vicia sepium;6,332547702;0,238060539;12,46730557;718,5390747;508,6939597;1259,462991;13,16597103;8,259015281;18,90530672;8075600;59,83;-10,5;70,17;38,17
Vicia tenuifolia;9,011038929;3,048260209;16,37913051;708,1028348;488,503615;1200,661567;15,53386207;11,80050941;20,78850751;5526800;59,83;-9,5;57,5;35,17
Vicia tetrasperma;8,659676075;3,854450008;15,71292345;719,8858522;505,6964786;1253,108876;14,71342237;11,0342069;20,02868669;5999600;47,5;-9,83;62,83;30,5
Vincetoxicum hirundinaria;8,087514425;3,322579691;13,93326525;728,1093347;501,9200804;1264,1847;15,05437241;12,11337753;18,94474571;4436800;59,83;-7,17;57,17;38,83
Vinca minor;9,987602028;6,055502301;15,11978916;719,8758881;519,2580436;1285,464474;15,19025382;12,02137257;19,72315684;2328400;32,83;-6,83;52,83;37,83
Viola arvensis;7,565489497;1,050474278;14,46046075;696,7353983;464,7147415;1222,6004;14,09343354;9,599639573;19,6406222;8939200;59,83;-10,5;66,83;36,5
Viola canina;6,884119087;0,947056854;12,48157756;715,2680945;509,3490295;1230,888739;13,08719404;8,170314418;17,61362459;7023600;59,83;-10,5;70,83;39,83
Viola collina;5,888912863;2,949025249;8,790177365;718,8249831;515,6806142;1208,422473;13,60333125;11,59146795;15,71286174;2359200;54,5;6,17;63,17;44,5
Viola hirta;7,167361366;1,958924358;11,77364495;724,3358245;509,0873191;1279,835276;14,1497427;11,3876869;17,52933609;4970400;59,83;-5,5;60,5;42,17
Viola mirabilis;5,733488932;1,300103376;10,66055361;736,0893279;510,8306674;1355,109985;13,35228934;9,098332508;17,0461456;4821200;59,83;6,83;68,83;42,17
Viola odorata;9,208613957;4,215091126;15,49608921;706,5227333;501,3248279;1233,327147;15,03229292;11,20225286;20,10750946;5761600;50,17;-10,5;60,5;36,17
Viola palustris;4,259731567;-1,779186631;9,642972982;720,8103914;511,8029642;1258,996651;10,96814909;6,09256534;14,32274589;5557600;59,83;-10,5;71,17;43,5
